Search Term,Tweet Text,URL
buzzfeed,RT @Ian56789: Michael Hastings report on Obama's Orwellian Mass Surveillance State published just before his death in 2013 https://t.co/oYR…,
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,.@esoneill this seems relevant to your interests https://t.co/Jh36z3gvnQ,https://www.buzzfeed.com/stephaniemlee/inside-the-internets-war-on-science
buzzfeed,RT @JarettSays: #TheAmericans is Back Tonight! What It’s Like To Suddenly Have The Most Relevant Show On TV https://t.co/Ta1qIqBWon https:/…,https://www.buzzfeed.com/jarettwieselman/how-the-americans-bosses-feel-about-its-sudden-political-rel
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,RT @BuzzFeed: 4 great books to read in March https://t.co/6Lp52dvcxk https://t.co/4uKtQDY1xh,http://bzfd.it/2mCszHn
buzzfeed,RT @z_khx: Was watching buzzfeed food videos and my mum thought I was texting a guy wow https://t.co/KHUVFWnfeN,
buzzfeed,"RT @tekken8810: 左寄りサイト、右寄りサイト、調べてみたらどっちも同じ運営会社だったと。地獄

分断を生み出す方法。全く同じ会社が左向け、右向けに偏ったニュースを流すディストピア https://t.co/Xr8ucwB79f @BFJNewsさんから",https://www.buzzfeed.com/bfjapannews/cf-hps?utm_term=.eb4386vA4A
buzzfeed,"RT @annalecta: JUST RELEASED: Official NPS photo of Trump inauguration thanks to @JasonLeopold's #FOIA https://t.co/v12YfYFSfb

Comparison…",http://bzfd.it/2mYACLL
buzzfeed,"RT @nhbaptiste: Pretty telling that Jason Chaffetz thinks health insurance costs just ""hundreds"" of dollars: https://t.co/Uk1U3bMNAJ https:…",https://www.buzzfeed.com/tamerragriffin/gop-congressman-says-low-income-people-choose-between-iphone?utm_term=.xlR1ZrVm0#.fmdVw0gAN
buzzfeed,RT @JarettSays: I love a blooper reel https://t.co/LM6d1OqeIO https://t.co/g9xomnK7dQ,https://www.buzzfeed.com/keelyflaherty/jennifer-lawrence-and-chris-pratts-passengers-blooper-reel-i?bftw&utm_term=.dqOq1AEarK#.pbZbwyl2Az
buzzfeed,RT @kjdeja: Buzzfeed would be out of content. https://t.co/oS6BcCxchf,https://twitter.com/thatdudemcfly/status/839208278760566784
buzzfeed,"RT @funder: Sources: Donald Trump Listened In On All Phone Lines At Mar-A-Lago

#trumprussia #resist #russiagate #trumpcare https://t.co/zp…",
buzzfeed,RT @shani_o: I think I see more fake science news than fake politics news https://t.co/YWZ6MTyFyo,https://www.buzzfeed.com/stephaniemlee/inside-the-internets-war-on-science?utm_term=.xqMALWXQZM#.ss9ENlq9ge
buzzfeed,"RT @funder: Sources: Donald Trump Listened In On All Phone Lines At Mar-A-Lago

#trumprussia #resist #russiagate #trumpcare https://t.co/zp…",
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"RT @BuzzFeed: Emma Watson was basically Hermione IRL on the ""Harry Potter"" set 
https://t.co/38hUVrL9HM https://t.co/CMzx1qryhT",http://bzfd.it/2naIR6A
buzzfeed,RT @z_khx: Was watching buzzfeed food videos and my mum thought I was texting a guy wow https://t.co/KHUVFWnfeN,
buzzfeed,RT @z_khx: Was watching buzzfeed food videos and my mum thought I was texting a guy wow https://t.co/KHUVFWnfeN,
buzzfeed,"RT @BraddJaffy: HHS Sec. says he's “not aware” that GOP health bill includes tax break for insurance execs making $500,000+

It does https:…",
buzzfeed,"so there's a buzzfeed article attempting to ""reveal the meaning of far-right memes"" and uh https://t.co/fSjqXsAVtB",
buzzfeed,"The 35 Greatest Animal Photobombers Of All Time - BuzzFeed Mobile- this is what you look like""-cat https://t.co/6srud3JepO",
buzzfeed,12 provas de que o futebol é a diva pop dos héteros https://t.co/ra4LGKp2As,https://www.buzzfeed.com/gasparjose/provas-de-que-futebol-e-a-diva-pop-dos-heteros?utm_term=.jsnPw3a3E
buzzfeed,RT @MMFlint: This Republican Says Poor People May Have To Choose Between An iPhone And Health Care - BuzzFeed News https://t.co/TqmnlzeqUo,https://apple.news/Ai_qdh-CHSt2YrhxP8Lk0nQ
buzzfeed,RT @ZoeTillman: Trump's nominee for deputy attorney general wouldn't commit to appointing a special counsel re: 2016 election https://t.co/…,
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,"RT @BuzzFeed: Literally just 26 hilarious tweets about last night’s episode of ""The Bachelor” https://t.co/8k1ZZO6pjL https://t.co/8gsvgdq9…",http://bzfd.it/2mBYzuW
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
buzzfeed,4 great books to read in March https://t.co/AGeYL5OjQo https://t.co/eD7eN6jEIO,http://bzfd.it/2mCszHn
buzzfeed,RT @z_khx: Was watching buzzfeed food videos and my mum thought I was texting a guy wow https://t.co/KHUVFWnfeN,
buzzfeed,I'm glad that buzzfeed recognizes how adorable Jen is https://t.co/4eLbyuRKZg,https://twitter.com/jenlawfilms/status/839201908044750849
buzzfeed,RT @crampell: GOP health care plan also includes a tax break for insurance CEO's https://t.co/hVRV1x7gwz,https://www.buzzfeed.com/paulmcleod/the-republican-healthcare-plan-includes-tax-break-for-insura?wpisrc=nl_daily202&wpmm=1&utm_term=.rsKYGWwk5#.bi8Qd5Yl4
